Adult_IP	Sup_IP	LTR_type	family	HOG	cons	strand	length	dt	Adult_IP_rpkm	Sup_IP_rpkm	sim_LTR	length_centred
int_As:1560	16.4504308986374	7.63520771614965	int	rnd-4_family-1379	N0.HOG0000010_OG0000006_n0	HC	As	2.94890176097021	0	4.21933205546269	3.12290586359018	int	-0.0175553641387274
int_As:1679	10.7066161722579	21.6543928349447	int	rnd-1_family-995	N0.HOG0000010_OG0000006_n0	HC	As	2.73798732633343	1	4.30543984679591	5.31421737957529	int	-0.22846979877551
int_As:1684	13.2246585291637	22.0031774588932	int	rnd-1_family-995	N0.HOG0000010_OG0000006_n0	HC	As	3.16938049531195	1	3.17433646529604	3.90411369273697	int	0.202923370203008
int_As:1708	160.132826681366	312.553364774289	int	rnd-5_family-461	N0.HOG0000010_OG0000006_n0	HC	As	3.98181860717066	1	4.06257690722862	5.02693126793307	int	1.01536148206172
int_As:1746	26.6869981347271	10.9301517380439	int	rnd-5_family-274	N0.HOG0000174_OG0000160_-	LC	As	3.18155777386279	0	4.14082836952394	2.86143961762311	int	0.215100648753845
int_As:1749	9.48074297838165	2.52919772766127	int	rnd-5_family-274	N0.HOG0000174_OG0000160_-	LC	As	2.3541084391474	0	5.40712525906244	3.54529132383766	int	-0.61234868596154
soloLTR_As:1752	3.29290284418098	0.415705571507495	soloLTR	rnd-5_family-4970	N0.HOG0000010_OG0000006_n0	HC	As	2.51054501020661	0	3.39243322437619	0.689915946956256	soloLTR	-0.455912114902329
int_As:1805	14.3726657736066	4.15105968945741	int	rnd-5_family-3633	no_RT	Other	As	2.78175537465247	0	4.58114657328407	2.81590987904742	int	-0.184701750456472
int_As:1806	28.7374922838902	4.44015983358539	int	rnd-5_family-3633	no_RT	Other	As	2.57863920996807	0	6.25005699433801	3.58532535466668	int	-0.387817915140869
LTR_As:1933	25.2356919109149	7.32713676797659	LTR	rnd-5_family-7032	no_RT	Other	As	2.64048143697042	0	5.85790161689827	4.08888332156935	LTR	-0.325975688138519
LTR_As:1938	4.06347019739218	0.891591389894712	LTR	rnd-5_family-7032	no_RT	Other	As	2.64048143697042	0	3.25518986729712	1.19449901414217	LTR	-0.325975688138519
LTR_As:1947	20.302869136551	35.5069721660467	LTR	rnd-5_family-767	N0.HOG0000199_OG0000185_-	LC	As	2.29225607135648	1	6.70241065474029	7.50554073683593	LTR	-0.674201053752465
int_As:1948	26.601272548286	14.641233726666	int	rnd-5_family-767	N0.HOG0000199_OG0000185_-	LC	As	3.60042832573213	0	2.7447536219188	1.88807149484554	int	0.63397120062319
int_As:1951	8.34629867340392	2.38076554531401	int	rnd-5_family-767	N0.HOG0000199_OG0000185_-	LC	As	3.46731206298055	0	1.52751341541171	-0.235903473113661	int	0.500854937871611
LTR_As:1975	4.29621998463393	1.97428377805732	LTR	rnd-5_family-461	N0.HOG0000010_OG0000006_n0	HC	As	2.9804578922761	0	2.20397950683153	1.12398724430626	LTR	0.0140007671671589
int_As:1976	252.255807171991	659.706047556734	int	rnd-1_family-995	N0.HOG0000010_OG0000006_n0	HC	As	4.05246307748333	1	4.48316054575481	5.86971116948304	int	1.08600595237439
int_As:1978	13.7250144800779	37.9816689413357	int	rnd-1_family-995	N0.HOG0000010_OG0000006_n0	HC	As	2.93399316383124	1	4.00943678925956	5.47064377825217	int	-0.0324639612776987
LTR_As:1996	6.98174342700824	3.46946569688563	LTR	rnd-3_family-2400	N0.HOG0000003_OG0000003_n0	C	As	2.98587535730839	0	2.87282403477615	1.88608742303258	LTR	0.0194182321994525
int_As:1997	12.2065618447253	3.31721394307707	int	rnd-3_family-2400	N0.HOG0000003_OG0000003_n0	C	As	3.46952747918701	0	2.06267167894943	0.21710124856678	int	0.503070354078073
int_As:2001	47.9546362458752	13.6184131614244	int	rnd-3_family-2400	N0.HOG0000003_OG0000003_n0	C	As	3.40122816749811	0	4.25402603761986	2.44612782592483	int	0.434771042389172
LTR_As:2002	20.2219915446722	8.42003832477054	LTR	rnd-3_family-2400	N0.HOG0000003_OG0000003_n0	C	As	2.99166900737995	0	4.37329251005705	3.11999907771519	LTR	0.0252118822710075
int_As:2008	99.1795951545922	41.3329353759132	int	rnd-5_family-3633	no_RT	Other	As	2.82151352840477	0	7.22647654357031	5.96594260948083	int	-0.144943596704168
int_As:2010	280.569799893916	115.117423213374	int	rnd-5_family-3633	no_RT	Other	As	2.98407703390283	0	8.18567149852123	6.9012236433519	int	0.0176199087938897
soloLTR_As:2012	51.1148024052355	20.1337238562564	soloLTR	rnd-4_family-356	no_RT	Other	As	2.47567118832443	0	7.42052889818604	6.08112502619358	soloLTR	-0.490785936784512
int_As:2014	448.0216926455	254.156273330655	int	rnd-5_family-3633	no_RT	Other	As	2.8998205024271	0	9.14056487789934	8.32298018890211	int	-0.0666366226818447
int_As:2016	63.9446262240014	21.4899134570216	int	rnd-3_family-2400	N0.HOG0000003_OG0000003_n0	C	As	2.47421626407626	0	7.74782674645611	6.17951518471327	int	-0.492240861032686
int_As:2022	41.0247941430751	16.2784822799755	int	rnd-5_family-878	N0.HOG0000027_OG0000016_n0	C	As	3.3714373174041	0	4.12836649546818	2.80064794374346	int	0.40498019229516
int_As:2049	33.4037143681981	12.5235896622393	int	rnd-5_family-4242	N0.HOG0000047_OG0000033_n0	C	As	3.41830129131975	0	3.67707080032361	2.26952064419947	int	0.451844166210804
LTR_As:2050	6.17497053549977	2.48641346342354	LTR	rnd-5_family-4242	N0.HOG0000047_OG0000033_n0	C	As	2.91855453055027	0	2.92222742715036	1.64665084987796	LTR	-0.0479025945586677
int_As:2064	10.0031662930225	26.4045193438942	int	rnd-1_family-807	no_RT	Other	As	3.21085336531489	1	2.63755180331559	4.02822303756161	int	0.244396240205952
soloLTR_As:2066	1.45074599946548	15.3604388696082	soloLTR	rnd-1_family-807	no_RT	Other	As	2.41830129131975	1	2.5735732225585	5.88370256975793	soloLTR	-0.548155833789196
